Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Cupprimo,78759,08/08/2013,93,"8650 SPICEWOOD SPRINGS RD
AUSTIN, TX 78759
(30.4332764361847, -97.7717358017984)",10141895,Routine Inspection
Cupprimo,78759,11/03/2015,99,"8650 SPICEWOOD SPRINGS RD
AUSTIN, TX 78759
(30.4332764361847, -97.7717358017984)",10141895,Routine Inspection
"Cups and Cones, LLC",78732,02/28/2013,100,"2900 N QUINLAN PARK RD
AUSTIN, TX 78732
(30.3691775991895, -97.8926312567614)",10046868,Routine Inspection
"Cups and Cones, LLC",78732,01/23/2015,100,"2900 N QUINLAN PARK RD
AUSTIN, TX 78732
(30.3691775991895, -97.8926312567614)",10046868,Routine Inspection
"Cups and Cones, LLC",78732,10/23/2013,95,"2900 N QUINLAN PARK RD
AUSTIN, TX 78732
(30.3691775991895, -97.8926312567614)",10046868,Routine Inspection
"Cups and Cones, LLC",78732,09/22/2015,100,"2900 N QUINLAN PARK RD
AUSTIN, TX 78732
(30.3691775991895, -97.8926312567614)",10046868,Routine Inspection
"Cups and Cones, LLC",78732,09/18/2014,93,"2900 N QUINLAN PARK RD
AUSTIN, TX 78732
(30.3691775991895, -97.8926312567614)",10046868,Routine Inspection
"Cups and Cones, LLC",78732,04/22/2014,100,"2900 N QUINLAN PARK RD
AUSTIN, TX 78732
(30.3691775991895, -97.8926312567614)",10046868,Routine Inspection
"Cups and Cones, LLC",78732,04/02/2015,97,"2900 N QUINLAN PARK RD
AUSTIN, TX 78732
(30.3691775991895, -97.8926312567614)",10046868,Routine Inspection
Curras Grill,78704,01/14/2015,70,"614 E OLTORF ST
AUSTIN, TX 78704
(30.2371373222219, -97.7494666308973)",2800774,Routine Inspection
Curras Grill,78704,12/16/2013,89,"614 E OLTORF ST
AUSTIN, TX 78704
(30.2371373222219, -97.7494666308973)",2800774,Routine Inspection
Curras Grill,78704,07/22/2015,77,"614 E OLTORF ST
AUSTIN, TX 78704
(30.2371373222219, -97.7494666308973)",2800774,1st Follow Up to Routine of 50 - 69
Curras Grill,78704,07/08/2015,68,"614 E OLTORF ST
AUSTIN, TX 78704
(30.2371373222219, -97.7494666308973)",2800774,Routine Inspection
Curras Grill,78704,06/13/2014,84,"614 E OLTORF ST
AUSTIN, TX 78704
(30.2371373222219, -97.7494666308973)",2800774,Routine Inspection
Curras Grill,78704,04/29/2013,82,"614 E OLTORF ST
AUSTIN, TX 78704
(30.2371373222219, -97.7494666308973)",2800774,Routine Inspection
Curry in Hurry,78758,04/23/2013,92,"2121 W PARMER LN
AUSTIN, TX 78758
(30.4156492665878, -97.6975693977237)",10768726,Routine Inspection
Curry in Hurry,78758,11/22/2013,85,"2121 W PARMER LN
AUSTIN, TX 78758
(30.4156492665878, -97.6975693977237)",10768726,Routine Inspection
Curry in Hurry,78758,11/03/2014,79,"2121 W PARMER LN
AUSTIN, TX 78758
(30.4156492665878, -97.6975693977237)",10768726,Routine Inspection
Curry in Hurry,78758,08/31/2015,76,"2121 W PARMER LN
AUSTIN, TX 78758
(30.4156492665878, -97.6975693977237)",10768726,Routine Inspection
Curry in Hurry,78758,05/12/2014,76,"2121 W PARMER LN
AUSTIN, TX 78758
(30.4156492665878, -97.6975693977237)",10768726,Routine Inspection
Curry in Hurry,78758,04/03/2015,79,"2121 W PARMER LN
AUSTIN, TX 78758
(30.4156492665878, -97.6975693977237)",10768726,Routine Inspection
Cuvee Coffee,78702,07/31/2015,97,"2000 E 6TH ST
AUSTIN, TX 78702
(30.2615302018445, -97.7209920069971)",11192795,Routine Inspection
Cuvee Coffee,78702,03/10/2015,94,"2000 E 6TH ST
AUSTIN, TX 78702
(30.2615302018445, -97.7209920069971)",11192795,Routine Inspection
